,X,person,speech,syllables,wordsyl,wc
1966,1966,Hillary Clinton,The administration originally said ten.,13,5,2.6
14268,14268,Martin O'Malley,"Thatâ€™s not capitalism, Secretary Clinton.",13,5,2.6
4028,4028,Bernie Sanders,African-American youth unemployment is fifty one percent.,18,7,2.571428571
4269,4269,Bernie Sanders,African-American youth unemployment is fifty one percent.,18,7,2.571428571
4712,4712,Bernie Sanders,This is revolutionary for education in America.,18,7,2.571428571
7090,7090,Ted Cruz,"Ronald Reagan reignited the American economy, rebuilt the Military, bankrupted the Soviet Union and defeated Soviet Communism.",43,17,2.529411765
11454,11454,Jeb Bush,"Limited government, entrepreneurial capitalism, of peace through strength.",20,8,2.5
9906,9906,Chris Christie,attorney we went after pharmaceutical companies.,15,6,2.5
644,644,Donald Trump,It's hurting us economically.,10,4,2.5
3392,3392,Hillary Clinton,Madeline Albright was secretary.,10,4,2.5
4524,4524,Bernie Sanders,It is enormously complicated.,10,4,2.5
5269,5269,Bernie Sanders,It's a Republican criticism.,10,4,2.5
6500,6500,Ted Cruz,It's targeted at communications.,10,4,2.5
9503,9503,Ben Carson,What about hydroelectric power?,10,4,2.5
11535,11535,Jeb Bush,It's affordable for everybody.,10,4,2.5
13042,13042,John Kasich,"Secondly, nobodyâ€™s trusting Iran.",10,4,2.5
13704,13704,Martin O'Malley,America's scanning the horizon.,10,4,2.5
111,111,Donald Trump,Every company.,5,2,2.5
679,679,Donald Trump,Dwight Eisenhower.,5,2,2.5
1560,1560,Donald Trump,Tremendous people.,5,2,2.5
2368,2368,Hillary Clinton,Everybody should.,5,2,2.5
2508,2508,Hillary Clinton,"Obviously, Mrs.",5,2,2.5
2673,2673,Hillary Clinton,Absolutely not.,5,2,2.5
2912,2912,Hillary Clinton,"Oh, absolutely.",5,2,2.5
3105,3105,Hillary Clinton,Hi everybody.,5,2,2.5
3453,3453,Hillary Clinton,Abraham Lincoln.,5,2,2.5
5736,5736,Bernie Sanders,Absolutely right.,5,2,2.5
6280,6280,Bernie Sanders,Excellent question.,5,2,2.5
6520,6520,Ted Cruz,"Absolutely, yes.",5,2,2.5
6722,6722,Ted Cruz,Ninety-three hours.,5,2,2.5
6859,6859,Ted Cruz,They're protectionist.,5,2,2.5
7166,7166,Ted Cruz,Absolutely yes.,5,2,2.5
7172,7172,Ted Cruz,Absolutely not.,5,2,2.5
9148,9148,Ben Carson,About Medicare?,5,2,2.5
9525,9525,Ben Carson,Washington ethics.,5,2,2.5
12170,12170,Jeb Bush,Absolutely not.,5,2,2.5
12273,12273,Jeb Bush,We need to rebuild our counterintelligence and intelligence capabilities.,22,9,2.444444444
4699,4699,Bernie Sanders,"Weâ€™re spending $eighty billion locking people up, disproportionately Latino and African American.",29,12,2.416666667
1895,1895,Hillary Clinton,"Unfortunately, Nouri al-Maliki, the prime minister, set about decimating it.",24,10,2.4
5444,5444,Bernie Sanders,"five million individual contributions, averaging $twenty seven dollars a piece.",24,10,2.4
10580,10580,Chris Christie,We cannot nix the radical Islamic jihadist with everyday Muslim-Americans.,24,10,2.4
1128,1128,Donald Trump,Illegal immigration is beyond belief.,12,5,2.4
2152,2152,Hillary Clinton,It was an excruciating experience.,12,5,2.4
8054,8054,Marco Rubio,It continues with regulatory reform.,12,5,2.4
8162,8162,Marco Rubio,They are actively recruiting Americans.,12,5,2.4
8382,8382,Marco Rubio,He understands only geopolitical strength.,12,5,2.4
8685,8685,Marco Rubio,We are eviscerating our military.,12,5,2.4
14439,14439,Martin O'Malley,We need comprehensive immigration reform.,12,5,2.4
13583,13583,Martin O'Malley,And we're able to replace the institutional profitability.,19,8,2.375
2219,2219,Hillary Clinton,The first line of defense against radicalization is in Muslim-American community.,26,11,2.363636364
4697,4697,Bernie Sanders,Fifty-one percent of high school African-American graduates are unemployed or underemployed.,26,11,2.363636364
10670,10670,Rand Paul,"In Ferguson, for every one hundred African-American women, there are only sixty African-American men.",33,14,2.357142857
3342,3342,Hillary Clinton,"The Americans With Disabilities Act, what an amazing accomplishment.",21,9,2.333333333
7439,7439,Ted Cruz,President Obama has talked about fundamentally transforming this country.,21,9,2.333333333
8119,8119,Marco Rubio,"That is not consistent conservatism, that is political calculation.",21,9,2.333333333
10098,10098,Chris Christie,Terrorism -- radical jihadist terrorism is not theoretical to me.,21,9,2.333333333
1917,1917,Hillary Clinton,The dictatorships have suppressed peopleâ€™s aspirations.,14,6,2.333333333
5808,5808,Bernie Sanders,That's my definition of Democratic Socialism.,14,6,2.333333333
7983,7983,Marco Rubio,This president is undermining our military.,14,6,2.333333333
8053,8053,Marco Rubio,Let's allow companies to immediately expense.,14,6,2.333333333
9498,9498,Ben Carson,"And, they've insinuated themselves into everything.",14,6,2.333333333
10762,10762,Rand Paul,Marco still misunderstands the immigration issue.,14,6,2.333333333
11760,11760,Jeb Bush,The leading democrat is under investigation.,14,6,2.333333333
13617,13617,Martin O'Malley,Talkingalkin to our veterans about employment.,14,6,2.333333333
25,25,Donald Trump,Only Rosie Oâ€™Donnell.,7,3,2.333333333
1179,1179,Donald Trump,I said temporarily.,7,3,2.333333333
1181,1181,Donald Trump,I said temporarily.,7,3,2.333333333
2139,2139,Hillary Clinton,Revolution never came.,7,3,2.333333333
2494,2494,Hillary Clinton,Security Council vote.,7,3,2.333333333
2497,2497,Hillary Clinton,Security council vote.,7,3,2.333333333
3246,3246,Hillary Clinton,Another quick example.,7,3,2.333333333
4978,4978,Bernie Sanders,"Yes, exactly, exactly.",7,3,2.333333333
6808,6808,Ted Cruz,Your prosecute criminals.,7,3,2.333333333
6818,6818,Ted Cruz,America and Mrs.,7,3,2.333333333
8652,8652,Marco Rubio,My familyâ€™s immigrants.,7,3,2.333333333
10171,10171,Chris Christie,It's not constitutional.,7,3,2.333333333
10255,10255,Chris Christie,Attorney in Manhattan.,7,3,2.333333333
10469,10469,Chris Christie,This is unacceptable.,7,3,2.333333333
11063,11063,Rand Paul,This is extraordinary.,7,3,2.333333333
11937,11937,Jeb Bush,Really appreciate that.,7,3,2.333333333
13162,13162,John Kasich,Because we're innovators.,7,3,2.333333333
7092,7092,Ted Cruz,"Cutting taxes, cutting regulation, unleashing small businesses and rebuilding the Military to defeat radical Islamic terrorism -- our strategy is simple.",46,20,2.3
14205,14205,Martin O'Malley,"Cooney, weâ€™ve actually been focusing on border security to the exclusion of talking about comprehensive immigration reform.",39,17,2.294117647
4858,4858,Bernie Sanders,They are anxious about international terrorism and the possibility of another attack on America.,32,14,2.285714286
10517,10517,Chris Christie,We've rebuilt the economy and rebuilt after the second-worst natural disaster in American history.,32,14,2.285714286
3302,3302,Hillary Clinton,It's dangerous because American Muslims deserve better.,16,7,2.285714286
3452,3452,Hillary Clinton,"Sorry, President Obama, sorry, Bill, Abraham Lincoln.",16,7,2.285714286
5160,5160,Bernie Sanders,Secretary -- Secretary Clinton didn't answer your question.,16,7,2.285714286
6905,6905,Ted Cruz,I opposed and oppose legalization and citizenship.,16,7,2.285714286
8372,8372,Marco Rubio,Our higher education system is completely outdated.,16,7,2.285714286
9502,9502,Ben Carson,Seventy percent of our population lives bi-coastally) .,16,7,2.285714286
10870,10870,Rand Paul,They're actually talking now about negative interest.,16,7,2.285714286
12012,12012,Jeb Bush,And imagine America without its community banks.,16,7,2.285714286
14291,14291,Martin O'Malley,I respectfully disagree with Senator Sanderâ€™s approach.,16,7,2.285714286
7359,7359,Ted Cruz,"On these videos, Planned Parenthood also essentially confesses to multiple felonies.",25,11,2.272727273
5411,5411,Bernie Sanders,Hereâ€™s the reality of American economic life today.,18,8,2.25
5512,5512,Bernie Sanders,"five million individual contributions, $twenty seven a piece.",18,8,2.25
5719,5719,Bernie Sanders,I think the Secretary described the situation appropriately.,18,8,2.25
14280,14280,Martin O'Malley,We decriminalized possession of small amounts of marijuana.,18,8,2.25
805,805,Donald Trump,We're talking about security.,9,4,2.25
807,807,Donald Trump,We're talking about security.,9,4,2.25
1654,1654,Hillary Clinton,"Nobody does, Senator Sanders.",9,4,2.25
1934,1934,Hillary Clinton,They elected moderate leaders.,9,4,2.25
2023,2023,Hillary Clinton,Heâ€™s a progressive economist.,9,4,2.25
3499,3499,Hillary Clinton,We bring different experiences.,9,4,2.25
4523,4523,Bernie Sanders,The Secretaryâ€™s obviously right.,9,4,2.25
4724,4724,Bernie Sanders,We donâ€™t eliminate Medicare.,9,4,2.25
4924,4924,Bernie Sanders,"First priority, destroy ISIS.",9,4,2.25
5214,5214,Bernie Sanders,Not wealthy campaign contributors.,9,4,2.25
5218,5218,Bernie Sanders,And I respectfully disagree.,9,4,2.25
5399,5399,Bernie Sanders,Itâ€™s an expensive proposition.,9,4,2.25
5837,5837,Bernie Sanders,"Water systems, wastewater plants.",9,4,2.25
5896,5896,Bernie Sanders,I support the organization.,9,4,2.25
6499,6499,Ted Cruz,It's targeted at infrastructure.,9,4,2.25
6968,6968,Ted Cruz,It is political correctness.,9,4,2.25
7017,7017,Ted Cruz,It's Prime Minister Netanyahu.,9,4,2.25
9048,9048,Ben Carson,one million federal employees.,9,4,2.25
10735,10735,Rand Paul,The Constitution says otherwise.,9,4,2.25
10897,10897,Rand Paul,five percent for individuals.,9,4,2.25
11497,11497,Jeb Bush,That's his first responsibility.,9,4,2.25
11580,11580,Jeb Bush,She's an American citizen.,9,4,2.25
12458,12458,Jeb Bush,We ended partial-birth abortion.,9,4,2.25
13713,13713,Martin O'Malley,America needs new leadership.,9,4,2.25
14400,14400,Martin O'Malley,I support President Obama.,9,4,2.25
7054,7054,Ted Cruz,That means you stop the Obama administration's policy of releasing criminal illegal aliens.,29,13,2.230769231
7429,7429,Ted Cruz,"Because as conservatives, as Republicans, we keep winning elections.",20,9,2.222222222
8610,8610,Marco Rubio,"America is no longer a reliable ally, Saudi Arabia.",20,9,2.222222222
13374,13374,John Kasich,"We've cut taxes, balanced budgets, changed the regulatory environment.",20,9,2.222222222
8036,8036,Marco Rubio,Because this president has consistently underestimated the threat of ISIS.,22,10,2.2
11827,11827,Jeb Bush,"Leadership, leadership is not about attacking people and disparaging people.",22,10,2.2
14283,14283,Martin O'Malley,"We reported openly discourtesy, and lethal force and brutality complaints.",22,10,2.2
639,639,Donald Trump,That was an unbelievable decision.,11,5,2.2
1227,1227,Donald Trump,It's not that complicated actually.,11,5,2.2
1349,1349,Donald Trump,"I disagree, respectfully, with Marco.",11,5,2.2
3260,3260,Hillary Clinton,So every situation is different.,11,5,2.2
5788,5788,Bernie Sanders,President Obama is obviously right.,11,5,2.2
5890,5890,Bernie Sanders,They are a fantastic organization.,11,5,2.2
6117,6117,Bernie Sanders,Senate Committee on Veterans Affairs.,11,5,2.2
6474,6474,Ted Cruz,Socialized medicine is a disaster.,11,5,2.2
6920,6920,Ted Cruz,It is radical Islamic terrorist.,11,5,2.2
7411,7411,Ted Cruz,Ronald Reagan believed in America.,11,5,2.2
7483,7483,Ted Cruz,embassy in Israel to Jerusalem.,11,5,2.2
7620,7620,Marco Rubio,special operation forces alongside them.,11,5,2.2
9463,9463,Ben Carson,The American people are terrified.,11,5,2.2
9804,9804,Chris Christie,Iâ€™m not against medical marijuana.,11,5,2.2
9903,9903,Chris Christie,It's a political Justice Department.,11,5,2.2
10190,10190,Chris Christie,Hillary Clinton cannot be president.,11,5,2.2
10449,10449,Chris Christie,The memorized twenty five-second speech.,11,5,2.2
11578,11578,Jeb Bush,Nobela is a rising entrepreneur.,11,5,2.2
11979,11979,Jeb Bush,"And, that requires American leadership.",11,5,2.2
12131,12131,Jeb Bush,"Becky, he governor's absolutely right.",11,5,2.2
12244,12244,Jeb Bush,My wife is a Mexican-American.,11,5,2.2
12275,12275,Jeb Bush,The world is dramatically different.,11,5,2.2
12457,12457,Jeb Bush,We did parental notification laws.,11,5,2.2
14141,14141,Martin O'Malley,This actually is Americaâ€™s fight.,11,5,2.2
6531,6531,Ted Cruz,"Executive power, as we all know, has been the preferred vehicle of President Obama, abusing his authority, abusing his constitutional authority.",46,21,2.19047619
9107,9107,Ben Carson,"I believe that our Constitution protects everybody, regardless of their sexual orientation or any other aspect.",35,16,2.1875
1321,1321,Donald Trump,"Everybody said, Oh, the temperament, because I talked about illegal immigration.",24,11,2.181818182
5541,5541,Bernie Sanders,Wall Street is an entity of unbelievable economic and political power.,24,11,2.181818182
12705,12705,John Kasich,"Look, the conservative message is economic growth and along with economic growth goes opportunity for everybody in America.",39,18,2.166666667
2793,2793,Hillary Clinton,"Democrats, Republicans, independents, weâ€™re going to make progress together when Iâ€™m president.",26,12,2.166666667
11735,11735,Jeb Bush,"The cybersecurity challenges that we face, this administration failed us completely, completely.",26,12,2.166666667
389,389,Donald Trump,Iâ€™m a businessman doing business transactions.,13,6,2.166666667
751,751,Donald Trump,A corporate inversion -- companies are leaving.,13,6,2.166666667
5224,5224,Bernie Sanders,Unless we have a political revolution.,13,6,2.166666667
5383,5383,Bernie Sanders,Thatâ€™s what American democracy is about.,13,6,2.166666667
6880,6880,Ted Cruz,"The final observation, invoked Ronald Reagan.",13,6,2.166666667
6974,6974,Ted Cruz,And political correctness is killing people.,13,6,2.166666667
6980,6980,Ted Cruz,And President Obama fuels that perception.,13,6,2.166666667
7083,7083,Ted Cruz,They get distracted about military conflicts.,13,6,2.166666667
7659,7659,Marco Rubio,Guantanamo's being emptied by this president.,13,6,2.166666667
8397,8397,Marco Rubio,They recruit Americans using social media.,13,6,2.166666667
8866,8866,Marco Rubio,This country has been extraordinarily blessed.,13,6,2.166666667
11649,11649,Jeb Bush,Republicans and Democrats alike believe this.,13,6,2.166666667
13405,13405,John Kasich,"Secondly, we are rehabbing the drug-addicted.",13,6,2.166666667
13547,13547,Martin O'Malley,"We started tracking discourtesy, excessive force.",13,6,2.166666667
14003,14003,Martin O'Malley,By actually doing more for education.,13,6,2.166666667
13864,13864,Martin O'Malley,"Ever since the attacks of September eleventh, my colleagues, Democratic and Republican mayors, Democratic and Republican governors, made me their leader on homeland security and preparedness.",56,26,2.153846154
7576,7576,Marco Rubio,"The first is conservatism is about limited government, especially at the federal level.",28,13,2.153846154
5423,5423,Bernie Sanders,"This whole discussion began because I commented, not making overall evaluation about the Secretary.",30,14,2.142857143
1790,1790,Hillary Clinton,Demonize hard-working immigrants who have insulted them.,15,7,2.142857143
2280,2280,Hillary Clinton,It was a different situation in Afghanistan.,15,7,2.142857143
4814,4814,Bernie Sanders,"And Abdullah said something recently, very important.",15,7,2.142857143
5789,5789,Bernie Sanders,Being president is an enormously difficult job.,15,7,2.142857143
7568,7568,Marco Rubio,Leadership is ultimately about solving the problem.,15,7,2.142857143
8667,8667,Marco Rubio,We also need a mandatory e-verify system.,15,7,2.142857143
8675,8675,Marco Rubio,The Chinese are rapidly expanding their military.,15,7,2.142857143
8810,8810,Marco Rubio,"Theyâ€™re coming from Guatemala, El Salvador, Honduras.",15,7,2.142857143
10515,10515,Chris Christie,We have to take responsibility as executives.,15,7,2.142857143
10998,10998,Rand Paul,I'm worried about bankrupting the American people.,15,7,2.142857143
11223,11223,Rand Paul,Only ISIS is responsible for the depravity.,15,7,2.142857143
2346,2346,Hillary Clinton,Security Council Resolution bringing the world together to go after a political transition in Syria.,32,15,2.133333333
7577,7577,Marco Rubio,"The federal government is a limited government, limited by the Constitution, which delineates its powers.",32,15,2.133333333
8278,8278,Marco Rubio,It takes a mandatory e-verify system and a mandatory entry/exit tracking system to prevent overstays.,32,15,2.133333333
3236,3236,Hillary Clinton,"And then I bega the negotiations, testing whether the Iranians would actually come and seriously negotiate.",34,16,2.125
10159,10159,Chris Christie,"And the way we've done it properly through regulatory action, not buy signing unconstitutional executive orders.",34,16,2.125
4810,4810,Bernie Sanders,I do not believe in unilateral American action.,17,8,2.125
4955,4955,Bernie Sanders,I don't want campaign contributions from corporate America.,17,8,2.125
6330,6330,Bernie Sanders,This country has millions of people struggling economically.,17,8,2.125
7391,7391,Ted Cruz,"Bush nominated John Roberts, I supported his confirmation.",17,8,2.125
7788,7788,Marco Rubio,They want to trigger an apocalyptic Armageddon showdown.,17,8,2.125
8420,8420,Marco Rubio,This next election is actually a generational choice.,17,8,2.125
10299,10299,Chris Christie,Barack Obama was never responsible for those decisions.,17,8,2.125
14453,14453,Martin O'Malley,"Anderson, I actually have talked about a revolution.",17,8,2.125
2964,2964,Hillary Clinton,"They continue to develop their nuclear weapons capability, and theyâ€™re working very hard on their ballistic missile capability.",38,18,2.111111111
2603,2603,Hillary Clinton,I know how much money influences the political decision-making.,19,9,2.111111111
5470,5470,Bernie Sanders,"So, Rachel, yes, Secretary Clinton does represent the establishment.",19,9,2.111111111
6719,6719,Ted Cruz,All without any government mandates whatsoever through the marketplace.,19,9,2.111111111
10077,10077,Chris Christie,It's so dysfunctional under Barack Obama and Hillary Clinton.,19,9,2.111111111
10418,10418,Chris Christie,"It's a different experience, it's a much different experience.",19,9,2.111111111
13279,13279,John Kasich,"You know, the conservative movement is all about opportunity.",19,9,2.111111111
6032,6032,Bernie Sanders,"Number one, within the African-American community, it's not only an economic issue, raising the minimum wage and providing jobs.",40,19,2.105263158
6599,6599,Ted Cruz,"You've got to be able to bring together conservatives and evangelicals and libertarians, and stitch together a winning majority.",40,19,2.105263158
2917,2917,Hillary Clinton,The Afghan army is taking heavy losses defending Afghan territory.,21,10,2.1
6873,6873,Ted Cruz,"We eliminate the payroll tax, we eliminate the Obamacare taxes.",21,10,2.1
10976,10976,Rand Paul,It allows President Obama to borrow unlimited amounts of money.,21,10,2.1
5380,5380,Bernie Sanders,"And then sustaining that rigged economy is a corrupt campaign finance system undermining American democracy, where billionaire, Wall Street, corporate America can contribute unlimited sums of money into super PACs and into candidates.",69,33,2.090909091
2517,2517,Hillary Clinton,"Social Security, which Republicans call a Ponzi scheme, may face privatization.",23,11,2.090909091
5559,5559,Bernie Sanders,Are there good corporations doing incredible cutting edge research and development?,23,11,2.090909091
6886,6886,Ted Cruz,We had Iran putting operatives in South America and Central America.,23,11,2.090909091
4012,4012,Hillary Clinton,We're going to defend marriage equality and end discrimination against LGBT Americans.,25,12,2.083333333
8832,8832,Marco Rubio,"The Department of Education, like every federal agency, will never be satisfied.",25,12,2.083333333
12075,12075,Jeb Bush,The great majority of Republicans and Americans believe in a hopeful future.,25,12,2.083333333
7767,7767,Marco Rubio,The guy who systematically and habitually violates the constitution on the Supreme Court?,27,13,2.076923077
6608,6608,Ted Cruz,"Barack Obama right now, number one, over seven years, has dramatically degraded our military.",29,14,2.071428571
6928,6928,Ted Cruz,Border security is national security and we will not be admitting jihadists as refugees.,29,14,2.071428571
10166,10166,Chris Christie,"When you became president, you had a Democratic Congress and a filibuster-proof Democratic Senate.",29,14,2.071428571
6664,6664,Ted Cruz,"In those thirty eight words, it said anyone here illegally is permanently ineligible for citizenship.",31,15,2.066666667
7919,7919,Marco Rubio,"And Hillary Clinton, Hillary Clinton is disqualified from being the commander-in-chief of the United States.",31,15,2.066666667
13116,13116,John Kasich,By having the elected officials and the leaders realize theyâ€™re Americans before theyâ€™re Republicans or Democrats.,33,16,2.0625
3190,3190,Hillary Clinton,"I went by myself down to Alabama to do investigations because again, inequality stalks our education system.",35,17,2.058823529
5709,5709,Bernie Sanders,"Number one, too many innocent people, including minorities, African Americans, have been executed when they were not guilty.",37,18,2.055555556
6972,6972,Ted Cruz,"Nidal Hasan communicated with Anwar al-Awlaki, a known radical cleric, asked about waging jihad against his fellow soldiers.",37,18,2.055555556
8413,8413,Marco Rubio,"We have actually created a category of systemically important institutions, and these banks go around bragging about it.",37,18,2.055555556
6035,6035,Bernie Sanders,"The fact that we have more people in jail in American than any other country, disproportionately African-American and Latino.",39,19,2.052631579
6523,6523,Ted Cruz,"It is enhanced interrogation, it is vigorous interrogation, but it does not meet the generally recognized definition of torture.",39,19,2.052631579
5365,5365,Bernie Sanders,"I'm going to debate Secretary Clinton, Governor O'Malley, on the issues facing the American people, not Bill Clinton's personal behavior.",41,20,2.05
4024,4024,Bernie Sanders,"As a result of this disastrous Citizens United Supreme Court decision, our campaign finance system is corrupt and is undermining American democracy.",45,22,2.045454545
4265,4265,Bernie Sanders,"As a result of this disastrous Citizens United Supreme Court decision, our campaign finance system is corrupt and is undermining American democracy.",45,22,2.045454545
14001,14001,Martin O'Malley,"All through the recession, we defended the highest median income in America and the second highest median income for African American families.",45,22,2.045454545
10342,10342,Chris Christie,"As president, I will support law enforcement and we'll stop radical terrorist attacks in this country by supporting our intelligence community and law enforcement community.",51,25,2.04
7459,7459,Ted Cruz,"Heâ€™s directly responsible for the murder of over five hundred American servicemen in Iraq, and part of this Iranian deal was lifting the international sanctions on General Soleimani.",57,28,2.035714286
10119,10119,Chris Christie,"Military action, Maria, would be used when it was absolutely necessary to protect American lives and protect American interests around the world.",44,22,2
14054,14054,Martin O'Malley,"And just like Social Security and unlike the Republicans, I think we should actually expand Social Security and increase average monthly benefits.",44,22,2
4707,4707,Bernie Sanders,"In fact, if you remember, fifty, sixty years ago, the University of California, City University of New York were virtually tuition-free.",42,21,2
9992,9992,Chris Christie,That the most basic responsibility of an administration is to protect the safety and security of the American people.,38,19,2
12162,12162,Jeb Bush,"This administration, with President Obama and Hillary Clinton, has created insecurity the likes of which we never wouldâ€™ve imagined.",38,19,2
5912,5912,Bernie Sanders,"Hillary Clinton and I have a disagreement on a very important issue that impacts everybody, but especially women.",36,18,2
6457,6457,Ted Cruz,We will end sanctuary cities by cutting off taxpayer dollars to any jurisdiction that defies federal immigration law.,36,18,2
168,168,Donald Trump,"I built a phenomenal business with incredible, iconic assets, one of the really truly great real-estate businesses.",34,17,2
6943,6943,Ted Cruz,"Number one, it ended the federal government's bulk collection of phone metadata of millions of law-abiding citizens.",34,17,2
12768,12768,John Kasich,"You have regulations -- I mean, come on, they're affecting everybody here, particularly our small businesses.",30,15,2
1696,1696,Hillary Clinton,"It is a partisan vehicle, as admitted by the House Republican majority leader, Mr.",28,14,2
4548,4548,Bernie Sanders,"And our focus has got to be on intelligence, increased manpower, fighting internationally targets.",28,14,2
6607,6607,Ted Cruz,"It is a different, fundamental military strategy than what we've seen from Barack Obama.",28,14,2
9068,9068,Ben Carson,I see people exercising the most irresponsible fiscal habits that anyone could possibly do.,28,14,2
10581,10581,Chris Christie,"New Jersey is the second largest Muslim- American population in America, of any state.",28,14,2
11980,11980,Jeb Bush,Without American leadership every other country in the neighborhood beings to change their priorities.,28,14,2
3380,3380,Hillary Clinton,"And weâ€™ve had American, both civilians and military personnel the subject of attacks.",26,13,2
4256,4256,Bernie Sanders,We are doing it the old-fashioned way: six hundred fifty thousand individual contributions.,26,13,2
4497,4497,Bernie Sanders,We are doing it the old-fashioned way: six hundred fifty thousand individual contributions.,26,13,2
5202,5202,Bernie Sanders,"Rebuilding our crumbling infrastructure, creating thirteen million jobs, the American people want it.",26,13,2
7047,7047,Ted Cruz,"I have never supported legalization, and I do not intend to support legalization.",26,13,2
7333,7333,Ted Cruz,"Weakness is provocative, and this Iranian nuclear deal is nothing short of catastrophic.",26,13,2
7615,7615,Marco Rubio,It will take Sunni Arabs to reject them ideologically and defeat them militarily.,26,13,2
13201,13201,John Kasich,"Our fracking industry, energy industry may have contributed twenty thousand, but if Mr.",26,13,2
13905,13905,Martin O'Malley,I am the very first post-nine/eleven mayor and the very first post-nine/eleven governor.,26,13,2
1892,1892,Hillary Clinton,"But this cannot be an American fight, although American leadership is essential.",24,12,2
1903,1903,Hillary Clinton,"The United States has, unfortunately, been victimized by terrorism going back decades.",24,12,2
7982,7982,Marco Rubio,He is -- this president is undermining the constitutional basis of this government.,24,12,2
8095,8095,Marco Rubio,There is a radical jihadist group that is manipulating our immigration system.,24,12,2
9994,9994,Chris Christie,"Wolf, unfortunately, it's the new normal under Barack Obama and Hillary Clinton.",24,12,2
10767,10767,Rand Paul,This legislation on indefinite detention I think deserves a little more attention.,24,12,2
11443,11443,Jeb Bush,"We created greater regulation on abortion clinics, where there were horrific procedures.",24,12,2
12166,12166,Jeb Bush,That requires an understanding and appreciation of American leadership in the world.,24,12,2
13025,13025,John Kasich,"The most important thing, hope to Americans, unify, lift everyone in America.",24,12,2
